,State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
44,24,472,3766,0,0,0,SUB-DISTRICT,Himatnagar,Urban,20751,101233,52666,48567,12199,6644,5555,8737,4528,4209,4634,2440,2194,77496,42336,35160,23737,10330,13407,32244,27469,4775,29939,26141,3798,374,358,16,274,204,70,422,313,109,28869,25266,3603,2305,1328,977,35,13,22,65,34,31,94,29,65,2111,1252,859,1645,979,666,33,13,20,50,29,21,68,17,51,1494,920,574,660,349,311,2,0,2,15,5,10,26,12,14,617,332,285,68989,25197,43792
45,24,472,3767,0,0,0,SUB-DISTRICT,Prantij,Urban,4980,23596,12093,11503,2639,1344,1295,692,352,340,297,158,139,17622,9828,7794,5974,2265,3709,6998,4591,2407,6020,4052,1968,676,576,100,410,311,99,97,56,41,4837,3109,1728,978,539,439,60,37,23,68,52,16,40,8,32,810,442,368,904,506,398,58,37,21,62,47,15,31,4,27,753,418,335,74,33,41,2,0,2,6,5,1,9,4,5,57,24,33,16598,7502,9096
46,24,472,3768,0,0,0,SUB-DISTRICT,Talod,Urban,3864,18298,9487,8811,1945,1019,926,1028,553,475,78,45,33,13492,7709,5783,4806,1778,3028,6255,5146,1109,5472,4803,669,569,557,12,715,624,91,29,26,3,4159,3596,563,783,343,440,17,16,1,199,86,113,31,19,12,536,222,314,681,319,362,15,15,0,173,81,92,23,18,5,470,205,265,102,24,78,2,1,1,26,5,21,8,1,7,66,17,49,12043,4341,7702
47,24,472,3769,0,0,0,SUB-DISTRICT,Modasa,Urban,13917,67648,34917,32731,8362,4466,3896,3061,1576,1485,1894,949,945,51680,28295,23385,15968,6622,9346,20855,17703,3152,19177,16800,2377,249,244,5,196,141,55,185,108,77,18547,16307,2240,1678,903,775,14,8,6,45,24,21,40,12,28,1579,859,720,1439,788,651,13,7,6,41,22,19,31,10,21,1354,749,605,239,115,124,1,1,0,4,2,2,9,2,7,225,110,115,46793,17214,29579
48,24,472,3770,0,0,0,SUB-DISTRICT,Dhansura,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,24,472,3771,0,0,0,SUB-DISTRICT,Malpur,Urban,1428,6378,3291,3087,714,392,322,1065,543,522,103,53,50,4747,2642,2105,1631,649,982,2089,1625,464,1936,1543,393,75,75,0,145,131,14,23,20,3,1693,1317,376,153,82,71,16,1,15,28,19,9,4,0,4,105,62,43,141,73,68,16,1,15,28,19,9,3,0,3,94,53,41,12,9,3,0,0,0,0,0,0,1,0,1,11,9,2,4289,1666,2623
50,24,472,3772,0,0,0,SUB-DISTRICT,Bayad,Urban,5298,25099,13062,12037,2937,1586,1351,2522,1296,1226,731,373,358,18148,10218,7930,6951,2844,4107,9363,7259,2104,7970,6687,1283,853,844,9,1357,1076,281,88,56,32,5672,4711,961,1393,572,821,32,24,8,491,225,266,16,8,8,854,315,539,1142,395,747,29,22,7,362,116,246,14,6,8,737,251,486,251,177,74,3,2,1,129,109,20,2,2,0,117,64,53,15736,5803,9933
51,24,473,3773,0,0,0,SUB-DISTRICT,Kalol,Urban,35349,167577,88869,78708,19802,10758,9044,23011,12168,10843,2079,1157,922,128873,72208,56665,38704,16661,22043,56407,48782,7625,50858,45566,5292,1982,1880,102,2248,1797,451,629,475,154,45999,41414,4585,5549,3216,2333,111,77,34,630,229,401,352,64,288,4456,2846,1610,5043,2903,2140,102,72,30,556,200,356,315,52,263,4070,2579,1491,506,313,193,9,5,4,74,29,45,37,12,25,386,267,119,111170,40087,71083
52,24,473,3774,0,0,0,SUB-DISTRICT,Mansa,Urban,6458,30347,16097,14250,3210,1811,1399,1893,982,911,76,43,33,23097,13081,10016,7250,3016,4234,12004,8971,3033,10187,8301,1886,1053,894,159,1658,1117,541,62,50,12,7414,6240,1174,1817,670,1147,70,9,61,674,166,508,14,3,11,1059,492,567,1491,578,913,67,9,58,429,128,301,13,2,11,982,439,543,326,92,234,3,0,3,245,38,207,1,1,0,77,53,24,18343,7126,11217
53,24,473,3775,0,0,0,SUB-DISTRICT,Gandhinagar,Urban,77499,360071,188494,171577,39156,21405,17751,40375,21107,19268,11688,6251,5437,284114,157214,126900,75957,31280,44677,125220,101848,23372,108707,91409,17298,5548,5093,455,8707,6930,1777,1762,1363,399,92690,78023,14667,16513,10439,6074,492,323,169,2025,1218,807,687,327,360,13309,8571,4738,14213,9069,5144,482,319,163,1850,1117,733,592,279,313,11289,7354,3935,2300,1370,930,10,4,6,175,101,74,95,48,47,2020,1217,803,234851,86646,148205
